filename,mode,jaccard_index,precision,recall,f1_score,f0.5_score,success_f1,success_f05
Basic-Wall-3-Schichtplatte-27mm---Schalplatte-3555236.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Wall-Foundation-Concrete---Cast-in-Place---1200x300-1282521.json,Elements,0.4,0.5,0.667,0.571,0.526,0,0
Beam-Gluelam-90x225-1335823.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Precast-Stair-Stair-10092362-Landing-1.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Geländer-Kern-6-OG2-GEL_TREP_6OG-14099961.json,Elements,0.5,0.5,1.0,0.667,0.556,0,0
Sockel-gerade-PAN_BET_2-735---h5-13-11944128.json,Elements,0.5,1.0,0.5,0.667,0.833,0,1
Kemper-Wandtresor-TRES_350x350-15539713.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
M_Single-Glass-1-0813-x-2420mm-0813-x-2420mm-171853.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-BSP-140---5s-1686981.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Floor-Fensterbank-40mm-7087153.json,Elements,0.5,0.5,1.0,0.667,0.556,0,0
BSH-Stütze---rechteckig-KVH-60-x-60-5755285.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Beam-HE-HEA120-2415251.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Shell_V12-Shell_V12-5294566.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
STB-Stütze---rechteckig-STZ_RTE_STB_450-x-450-2634854.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Holz-Träger---rechteckig-Holz-60-x-160-22007091.json,Elements,0.111,0.333,0.143,0.2,0.263,0,0
TO---Falttor---1-x-3-Flügel-TOA_FLT_MET_4125-x-4200-8756847.json,Elements,0.667,1.0,0.667,0.8,0.909,1,1
Basic-Wall-BSP-140-Sichtseite-einseitig-1744018.json,Elements,0.0,0.0,0.0,0.0,0.0,0,0
IPE-Träger-Kammerbeton-TRA_IPE-KAB_STA_STB_400-8222212.json,Elements,0.0,0.0,0.0,0.0,0.0,0,0
Basic-Wall-FUN_STB_1500-3010518.json,Elements,0.0,0.0,0.0,0.0,0.0,0,0
Basic-Wall-WAT_ASW_STB_250-2826560.json,Elements,0.833,0.833,1.0,0.909,0.862,1,1
Screwed-Pin-M24-1238114.json,Elements,0.0,0.0,0.0,0.0,0.0,0,0
Assembled-Stair-Stair-11892954-Run-1.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Floor-BBA_GIT_MET_30-11023640-10.json,Elements,0.5,0.5,1.0,0.667,0.556,0,0
Basic-Wall-WAN_ASW_MW_145-10993756.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-Fensterlaibung-40mm-6514187.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-GEL_FÜL_OPK_BALK_100-11023610.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Abdeckblech-gerundet-neu-Abdeckblech-gerundet-neu-6385866.json,Elements,0.125,0.5,0.143,0.222,0.333,0,0
Floor-DCH_DÄ-AB_300-6785352.json,Elements,0.778,1.0,0.778,0.875,0.946,1,1
Basic-Wall-WAN_DCK_DÄ_100-8137387.json,Elements,0.231,0.75,0.25,0.375,0.536,0,0
Floor-BBA_HBE_30-BG2-geschliffen-9576469.json,Elements,0.0,0.0,0.0,0.0,0.0,0,0
Vordach-1.json,Elements,0.333,0.333,1.0,0.5,0.385,0,0
Fertigteil-TT-Platte---Ausklinkung-beidseitig---ohne-Fase---asymmetrisch-2750-x-680-3647246.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Column-Planed-Wood-38x145-946122.json,Elements,0.6,1.0,0.6,0.75,0.882,1,1
Basic-Wall-WAN_TWÄ_MW_150-KS-10152070.json,Elements,0.667,0.667,1.0,0.8,0.714,1,1
HEB-Träger-TRA_HEB_STA_180-10123612.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Window-Opening-Circle-120-2373865.json,Elements,0.733,0.733,1.0,0.846,0.775,1,1
Fire-Protection_Beam-3-sides-200x190-1171719.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
1OG-Balkon-1-1.json,Elements,0.786,0.786,1.0,0.88,0.821,1,1
Basic-Wall-Wärmedämmung_Slentex-70-687731.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
System-Panel-PAN_DÄM_ALU_50-11227867.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Floor-DÄ_FUN_HOR_100-12567832.json,Elements,0.25,0.333,0.5,0.4,0.357,0,0
Systemelement-Contraflam-EI30-1753138.json,Elements,0.25,0.333,0.5,0.4,0.357,0,0
Basic-Wall-WAN_ASW_VKL_10-12099875.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Stufen-Dach5-Stufen-Dach-13656116.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Floor-Betonauflager-15cm-3980840.json,Elements,0.231,0.5,0.3,0.375,0.441,0,0
Basic-Wall-Brick--Existing---200-1441293.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
FE-Dachkuppel-rund-Ø-1200-13668242.json,Elements,0.444,0.444,1.0,0.615,0.5,0,0
